105.00	0.0000	0.10000	0.0000	0.79182
105.00	0.025000	0.10000	0.0000	0.77531
105.00	0.050000	0.10000	0.0000	0.75739
105.00	0.072500	0.10000	0.0000	0.74048
105.00	0.10000	0.10000	0.0000	0.71807
105.00	0.12500	0.10000	0.0000	0.69567
105.00	0.15000	0.10000	0.0000	0.67145
105.00	0.17500	0.10000	0.0000	0.64514
105.00	0.20000	0.10000	0.0000	0.61739
105.00	0.22500	0.10000	0.0000	0.58769
105.00	0.25000	0.10000	0.0000	0.55653
105.00	0.27500	0.10000	0.0000	0.52450
105.00	0.30000	0.10000	0.0000	0.49183
105.00	0.32500	0.10000	0.0000	0.45774
105.00	0.35000	0.10000	0.0000	0.42072
105.00	0.37500	0.10000	0.0000	0.38139
105.00	0.40000	0.10000	0.0000	0.34028
210.00	0.0000	0.10000	0.0000	0.78141
210.00	0.025000	0.10000	0.0000	0.77442
210.00	0.050000	0.10000	0.0000	0.76738
210.00	0.072500	0.10000	0.0000	0.76164
210.00	0.10000	0.10000	0.0000	0.75465
210.00	0.12500	0.10000	0.0000	0.74884
210.00	0.15000	0.10000	0.0000	0.74317
210.00	0.17500	0.10000	0.0000	0.73709
210.00	0.20000	0.10000	0.0000	0.73161
210.00	0.22500	0.10000	0.0000	0.72467
210.00	0.25000	0.10000	0.0000	0.71648
210.00	0.27500	0.10000	0.0000	0.70698
210.00	0.30000	0.10000	0.0000	0.69605
210.00	0.32500	0.10000	0.0000	0.68285
210.00	0.35000	0.10000	0.0000	0.66675
210.00	0.37500	0.10000	0.0000	0.64539
210.00	0.40000	0.10000	0.0000	0.61869

